,Sentence,Aspect Terms,Sentiment
1333,Flickr without a proxy in the uae now,Flickr,NEUTRAL
1334,& # 9829 ; When The Feeling's in the Core by Tame Impala # lastfm : http://t.co/T60Me7jD,Tame Impala,NEUTRAL
1335,I posted a new photo to Facebook http://t.co/C7WHWk63,Facebook,NEUTRAL
1336,#Africa Tuareg Rockers Tinariwen Set for 2010 U.S . Summer Tour ... http://tinyurl.com/24toaml,Tuareg Rockers Tinariwen,NEUTRAL
1337,Leading Sunni official in Iraq hit by roadside bomb : BAGHDAD â A convoy carrying a leading Sunni government offi ... http://t.co/BmOUAQi1,Sunni official,NEUTRAL
1338,yeah ! Tomorrow is @justinbieber birthday .,@justinbieber,POSITIVE
1339,Mockton proposes mining industry news ventures in Australia : http://t.co/s8e34tDt,Mockton,NEUTRAL
1340,shoiab returns with yet another controversy .,shoiab,NEUTRAL
1341,"Youths shape the future of online TV , movies , music : By Martha Irvine AP Not wanting to mar his law school recor ... http://t.co/1R4B5D9k",Martha Irvine AP,NEUTRAL
1342,US defense secretary Panetta says US will take military action to prevent Iran from acquiring nuclear weapons ... http://t.co/8JQVf0bm #News,Panetta,NEUTRAL
1343,US defense secretary Panetta says US will take military action to prevent Iran from acquiring nuclear weapons ... http://t.co/8JQVf0bm #News,US,NEUTRAL
1344,""" @ AYOTWICE : Ohk lemme help pastor chris masturbation is not a sin but lust is a sin .... do the math."" *yimu*",chris,NEGATIVE
1345,@RUIENMON wah thanks LOL . yes I want recover then spam toiletbowl at school =,@RUIENMON,POSITIVE
1346,@ClaudeKelly Bought twice today . One physical copy and another on Itunes ! my favorite song is # Vanity . But I love them all !,@ClaudeKelly,POSITIVE
1347,Sangria in a Midwestern Mexican restaurant on the upper west side with Daniella shoshan and Gina Marie .,Daniella shoshan,NEUTRAL
1348,Sangria in a Midwestern Mexican restaurant on the upper west side with Daniella shoshan and Gina Marie .,Gina Marie,NEUTRAL
1349,"Poland , Czech Republic , Greece and Russia ... sounds good to me",Czech Republic,POSITIVE
1350,"Poland , Czech Republic , Greece and Russia ... sounds good to me",Greece,POSITIVE
1351,I liked a @YouTube video http://t.co/jbMuZ0mY Riverside - Forgotten Land ( edit ) [ New Song ],Riverside,POSITIVE
1352,"Press Release Distribution Service , EmailWire , Adds Apple Related Products and Services Category for Press Release ...",Apple,NEUTRAL
1353,Are Indian art forms sacrificed at the altar of globalisation ? Does it matter @smudgal http://t.co/W69Prwnf@the_hindu,Indian,NEUTRAL
1354,Are Indian art forms sacrificed at the altar of globalisation ? Does it matter @smudgal http://t.co/W69Prwnf@the_hindu,@smudgal,NEUTRAL
1355,#Cash NimbleCommerce Revamps Daily Deals For MediaNews Grou p: Startup NimbleCommerce wants to become the daily d ... http://t.co/XMIGIN5j,NimbleCommerce,POSITIVE
1356,#Cash NimbleCommerce Revamps Daily Deals For MediaNews Grou p: Startup NimbleCommerce wants to become the daily d ... http://t.co/XMIGIN5j,NimbleCommerce,NEUTRAL
1357,"@leonbolier Heard you gonna play in Kiev soon . Will you make us any surpises in your set ? Denis Borisenko , Kiev , Ukraine .",Denis Borisenko,NEUTRAL
1358,#nowplaying Have Faith In Me by A Day To Remember,A Day To Remember,NEUTRAL
1359,"http://t.co/lpyUZ4wO Android Market checks out , Google Play moves in http://t.co/GwmKcsaB http://t.co/lpyUZ4wO",Android,NEUTRAL
1360,"http://t.co/lpyUZ4wO Android Market checks out , Google Play moves in http://t.co/GwmKcsaB http://t.co/lpyUZ4wO",Google,NEUTRAL
1361,"""There are no secrets to success . It is the result of preparation , hard work , learning from failure."" -Colin Powell",-Colin Powell,NEUTRAL
1362,Cheap Tickets To : Cox appreciates Pujols' value to game http://cheapticketsto.net/cox-appreciates-pujols-value-to-game/,Cox,NEUTRAL
1363,Cheap Tickets To : Cox appreciates Pujols' value to game http://cheapticketsto.net/cox-appreciates-pujols-value-to-game/,Pujols',NEUTRAL
1364,Fox Weathering Rough Fall TV Season http://bit.ly/bAzy2m 1 : O,Fox,NEUTRAL
1365,http://bit.ly/aaRbLw Craft Utopia blog ~ Long awaited Die Cuts by Design House have die cut decoupage,Design House,POSITIVE
1366,Get your family member out of jail . We can help you . Bailing Service Riverside CA . http://t.co/tRnwqMl,Bailing Service,NEUTRAL
1367,"I created group College Of Engineering , Poonjar on Linkedin . : http://lnkd.in/MBbVcv",College Of Engineering,POSITIVE
1368,"I created group College Of Engineering , Poonjar on Linkedin . : http://lnkd.in/MBbVcv",Linkedin,POSITIVE
1369,"New blog post , Mark Huffman @ HCC This Sunday - http://t.co/QpjlzH7x",Mark Huffman,NEUTRAL
1370,"New blog post , Mark Huffman @ HCC This Sunday - http://t.co/QpjlzH7x",HCC,NEUTRAL
1371,Heineken Launches New Online Video Campaign 'Men With Talent' - http://t.co/mg1VZTJl http://t.co/mVqgcuXK via @socialtimes,Heineken,NEUTRAL
1372,"Hey NASCAR fans , the 2011 racing season concludes with the NASCAR Sprint Cup Series Pure Michigan 400 . http://t.co/W7I1EA8",NASCAR,POSITIVE
1373,"Hey NASCAR fans , the 2011 racing season concludes with the NASCAR Sprint Cup Series Pure Michigan 400 . http://t.co/W7I1EA8",NASCAR,NEUTRAL
1374,I am glad you are letting Herman Cain diappear of his on doing .,Herman Cain,NEUTRAL
1375,Free Videos Honoring Women of Courage - Hillary Clinton and Michelle Obama honor the achievements of women at the 10 ... http://ow.ly/1bFMm1,Hillary Clinton,POSITIVE
1376,Free Videos Honoring Women of Courage - Hillary Clinton and Michelle Obama honor the achievements of women at the 10 ... http://ow.ly/1bFMm1,Michelle Obama,POSITIVE
1377,Twitter remembers the top stories of 2011 http://t.co/TQd0tTF5 via @CNET,Twitter,NEUTRAL
1378,"Steve Jobs , Apple co-founder , dies aged 56 http://t.co/1LBL6hnD",Steve Jobs,NEUTRAL
1379,"Steve Jobs , Apple co-founder , dies aged 56 http://t.co/1LBL6hnD",Apple,NEUTRAL
1380,"Gadget Update : Distro Issue 31 : Tales from the South Pacific , Apple's new iPad and the Woz",Apple's,NEUTRAL
1381,I posted a new photo to Facebook http://t.co/hQ3PSuh8,Facebook,NEUTRAL
1382,Official RIM statement regarding NFC on new devices - If you've already read our BlackBerry Bold 9930 review ( if yo ... http://t.co/CbfduSh,RIM,NEUTRAL
1383,Take a look at our selection or custom create your own hair bow . www.bayoubows.com #hair #bows,www.bayoubows.com,POSITIVE
1384,"Obama May Back Hiring Credit , Construction Spending to Spur Jobs â BusinessWeek http://t.co/PCBJYSw",Obama,POSITIVE
1385,"Obama May Back Hiring Credit , Construction Spending to Spur Jobs â BusinessWeek http://t.co/PCBJYSw",BusinessWeek,NEUTRAL
1386,In The Next Few Weeks Android 3.2 Honycomb Update for Verizon Motorola Xoom : It seems that a owners of a Verizon ... http://bit.ly/qkCkDj,Verizon Motorola,POSITIVE NEUTRAL
1387,In The Next Few Weeks Android 3.2 Honycomb Update for Verizon Motorola Xoom : It seems that a owners of a Verizon ... http://bit.ly/qkCkDj,Verizon,NEUTRAL
1388,Have you heard about the latest Forex Robots ? http://tinyurl.com/ydkgycv,Forex,NEUTRAL
1389,.. I don't do business from my FB profile . The photos aren't a negative portrayal - they just show I didn't spend my weekend working ! Urgh !,FB,NEUTRAL
1390,Ploughshare s: The Geometry of God http://bit.ly/bBTYVS,Ploughshare s:,NEUTRAL
1391,"Rudyard Kipling IF poem # 7 If you can bear to hear the truth you've spoken Twisted by knaves to make a trap for fools ,",Rudyard Kipling,NEUTRAL
1392,Andy Dufresne .. who crawled through a river of shit and came out clean on the other side . Andy Dufresne ... headed for the Pacific .,Andy Dufresne,NEUTRAL
1393,Andy Dufresne .. who crawled through a river of shit and came out clean on the other side . Andy Dufresne ... headed for the Pacific .,Andy Dufresne,POSITIVE
1394,"Job opportunity : Sr . Software Engineer ( Mac ) -- Cool Gad at Mark/Space , Inc . - San Francisco Bay Area #jobs http://t.co/XG2psp5b","Mark/Space , Inc",POSITIVE
1395,"'Dancing With the Star s': First Perfect Scores Pro dancer Tony Dovolani discusses the performances from ""Guilty Pleasure http://tiny.ly/nA8i",Tony Dovolani,NEUTRAL
1396,"If u shoot w Instagram but prefers using other camera app , make sure the app is location aware . Instagram will use e geolocation data .",Instagram,NEUTRAL
1397,"If u shoot w Instagram but prefers using other camera app , make sure the app is location aware . Instagram will use e geolocation data .",Instagram,NEUTRAL
1398,;P http://bit.ly/bYS2DH eye gel Reviewing Pycnogenol Eye Gel With Green Tea Extract By Derma E,Derma E,NEUTRAL
1399,"People will forget what you said , people will forget what you did , but people will never forget how you made them feel . Maya Angelou",Maya Angelou,POSITIVE
1400,I liked a @YouTube video from @BernardAARTS http://youtu.be/UtnnweoSeYI?a BUSINESS IN BRAZIL - MARCIA SHORT - CORACAO DE,MARCIA SHORT,NEUTRAL
1401,"Japan retail sales boosted by surge in demand for car s: "" The Japanese automotive association predicts that dome ... http://t.co/xIeCRdBC",Japanese automotive association,NEUTRAL
1402,http://t.co/LSmoZsXl WKU baseball opens doubleheader with 5-2 win over Kent State : Junior catcher Ryan Huck blast ... http://t.co/KsaZfiqU,Ryan Huck,NEUTRAL
1403,@georgegalloway @yvonneridley 'I lied about WMD to topple Saddam' http://gu.com/p/2n5ky/tw,@georgegalloway,NEGATIVE
1404,@georgegalloway @yvonneridley 'I lied about WMD to topple Saddam' http://gu.com/p/2n5ky/tw,Saddam',NEUTRAL
1405,"I posted 10 photos on Facebook in the album ""On Assignment | Bangkok floods"" http://t.co/l3pAMNTW",Facebook,NEUTRAL
1406,"I posted 10 photos on Facebook in the album ""On Assignment | Bangkok floods"" http://t.co/l3pAMNTW",Bangkok,NEUTRAL
1407,Check out this facebook page ! http://t.co/tbTrZDJi via @AddThis,facebook,NEUTRAL
1408,An Asian sustained serious head and chest injuries after being hit while crossing the road in Budaiya,Asian,NEUTRAL
1409,kannan and velmurugan took me back to the last college days #thank you very much,kannan,POSITIVE
1410,kannan and velmurugan took me back to the last college days #thank you very much,velmurugan,POSITIVE
1411,iPhone 4S Upgrade on AT & T Claims to Add 4G Service â But Does It ? : If you download iOS 5.1 onto your AT & T iPh ... http://t.co/Sfy6gNdS,AT & T,NEUTRAL
1412,I feel ashamed to live in a society in which a great man like Kanuda had to commit suicide at the age of 78,Kanuda,POSITIVE
1413,"Gather , Unite and never ever stop until we reach freedom ! It's coming ! Put a plan , and follow and U R the winners @ KafaSamtan @ RevolutionSyria",KafaSamtan,POSITIVE
1414,"""If u couldn't compete the good people with their knowledge , compete the guilty people with their asking for forgiveness"" ~ Amr Khaled",Amr Khaled,NEUTRAL
1415,Tech Rewar d: Consumer New s: Get a Free Apple iPhone 4 ! Details Apply http://t.co/LUx1L9c,Apple,NEUTRAL
1416,Could iPad be sold out by early afternoon Saturday ? - USATODAY.com http://ow.ly/1tUqH,USATODAY.com,NEUTRAL
1417,The NEW Twitter Toolbar has Twitter's Trending Topics ! Download and RT to win an ipad ! http://twitbar.net,Twitter,NEUTRAL
1418,The NEW Twitter Toolbar has Twitter's Trending Topics ! Download and RT to win an ipad ! http://twitbar.net,Twitter's,POSITIVE
1419,http://bit.ly/eUnKYW The Lincoln Lawyer Starring Ryan Phillippe Teaser Trailer 1,Ryan Phillippe,NEUTRAL
1420,@Amandasadd not bad ! Welcome to twitter its a great place !,twitter,POSITIVE
1421,Twitter Advertising Has Never Been Easier . Learn How To Automate Your Twitter Account And Make Money Today ! http://bit.ly/8y9szq,Twitter,POSITIVE
1422,Twitter Advertising Has Never Been Easier . Learn How To Automate Your Twitter Account And Make Money Today ! http://bit.ly/8y9szq,Twitter,NEUTRAL
1423,Want to win a $ 100 KINKI voucher ? Tag KINKI in your best NYE photos ( on facebook ) & garner the most 'likes' by the 11th of Jan to win !,KINKI,NEUTRAL
1424,Want to win a $ 100 KINKI voucher ? Tag KINKI in your best NYE photos ( on facebook ) & garner the most 'likes' by the 11th of Jan to win !,KINKI,NEUTRAL
1425,Want to win a $ 100 KINKI voucher ? Tag KINKI in your best NYE photos ( on facebook ) & garner the most 'likes' by the 11th of Jan to win !,NYE,POSITIVE
1426,Want to win a $ 100 KINKI voucher ? Tag KINKI in your best NYE photos ( on facebook ) & garner the most 'likes' by the 11th of Jan to win !,facebook,NEUTRAL
1427,Alfie Allen and Jaime Winstone split after 3 years and this time it's for good .,Alfie Allen,NEUTRAL
1428,Alfie Allen and Jaime Winstone split after 3 years and this time it's for good .,Jaime Winstone,NEUTRAL
1429,"I posted 4 photos on Facebook in the album ""People"" http://fb.me/YM7y9xEA",Facebook,NEUTRAL
1430,On Faith Panelists Blog : Thank goodness for Christopher Hitchens ! - Daniel C . Dennett http://bit.ly/9cjJVn,Christopher Hitchens,POSITIVE
1431,On Faith Panelists Blog : Thank goodness for Christopher Hitchens ! - Daniel C . Dennett http://bit.ly/9cjJVn,Daniel C . Dennett,NEUTRAL
1432,= - Everyone buy this stock APRM - retweet,APRM,POSITIVE
1433,Check this video out -- What is CrossFit ? full commercial by CrossFit by Overload http://t.co/Txkevar1 via @youtube,http://t.co/Txkevar1,NEUTRAL
1434,"Sometimes by Bessie Jones , from #SoundHound http://t.co/ufnN7OiJ",Bessie Jones,NEUTRAL
1435,"Almost Free http://t.co/VFOcl8KH Save 42 % : Superwinch Terra 45 4 , 500-Pound ATV Winch with Cable Happy Birthday Shannon Leto",Shannon Leto,POSITIVE
1436,@kasimf In #Bahrain we have a lot of these clowns . And some are paid to do their pro-gev circus on twitter and facebook .,twitter,NEUTRAL
1437,@kasimf In #Bahrain we have a lot of these clowns . And some are paid to do their pro-gev circus on twitter and facebook .,facebook,NEUTRAL
1438,good research in #Arabic #national #geographic mag about the UAE civilizations & tombs dating back to 5000 yrs ago .,#national #geographic mag,POSITIVE
1439,"""Develop a passion for learning . If you do , you will never cease to grow."" Anthony J . D'Angelo #quote",Anthony J . D'Angelo,NEUTRAL
1440,You're not one of the 1.5B :o) RT @ShannaNews @KushiNBCSD how can Santa wrap my present when I don't even know what I want ? ! ;) #mindreader,@ShannaNews @KushiNBCSD,NEUTRAL
1441,You're not one of the 1.5B :o) RT @ShannaNews @KushiNBCSD how can Santa wrap my present when I don't even know what I want ? ! ;) #mindreader,Santa,POSITIVE
1442,ClixSense is one of the oldest and most trusted PTC ( Paid To Click ) websites online .... Big Money For All ... http://fb.me/sNkNDtT5,ClixSense,POSITIVE
1443,"Check out this job on BeLinked ! , Office Coordinator ( http://t.co/i0zmvWXR)",BeLinked,POSITIVE
1444,"I posted 8 photos on Facebook in the album ""36th JKF Goju Kai Tournament 2010"" http://fb.me/INaFpZSb",Facebook,NEUTRAL
1445,# Baseball : Owasso chooses new management for youth baseball http://bit.ly/aAereM,Owasso,NEUTRAL
1446,"Beliebers and Selenators ""working together"" . My Ass , Working Together against one person ? Pussies .",Beliebers,NEGATIVE
1447,"Beliebers and Selenators ""working together"" . My Ass , Working Together against one person ? Pussies .",Selenators,NEGATIVE
1448,"""If you can't be kind , at least have the decency to be vague."" - Jerry Seinfeld #Moxie #Quote",Jerry Seinfeld,NEUTRAL
1449,I posted a new photo to Facebook http://fb.me/GmjaP4y7,Facebook,NEUTRAL
1450,@chutche6 Thanks Cynthia . We're glad you enjoyed our book .,Cynthia,POSITIVE
1451,Anyone else get hit with that Facebook phishing/password virus ? I almost got it but hubby stopped it before any damage was caused .,Facebook,NEUTRAL
1452,Anyone else get hit with that Facebook phishing/password virus ? I almost got it but hubby stopped it before any damage was caused .,hubby,POSITIVE
1453,Check out Dell on Google+ ! RT @Dell Google+ Pages are live ! See our Dell page here http://t.co/oNO0l22x,Dell,NEUTRAL
1454,Check out Dell on Google+ ! RT @Dell Google+ Pages are live ! See our Dell page here http://t.co/oNO0l22x,Google+,NEUTRAL
1455,Check out Dell on Google+ ! RT @Dell Google+ Pages are live ! See our Dell page here http://t.co/oNO0l22x,Dell,POSITIVE
1456,â @ MannyPacquiao : Jeremy Lin has stepped up just in the Knick of time . He is a great player . @JLin7 â // you didnt win the fight #Iremember,Jeremy Lin,POSITIVE
1457,I liked a @YouTube video http://t.co/zQzJiUj5 Dash Berlin feat Emma Hewitt - Waiting ( Official Music V,Dash Berlin,POSITIVE
1458,I liked a @YouTube video http://t.co/zQzJiUj5 Dash Berlin feat Emma Hewitt - Waiting ( Official Music V,Emma Hewitt,POSITIVE
1459,An idea not coupled with action will never get any bigger than the brain cell it occupied . -Arnold H . Glasow,-Arnold H . Glasow,NEUTRAL
1460,"Portland entrepreneurs switch to cloud computing , talk with Microsoft's Cindy ... : Imagination Yoga shift ... http://t.co/IwR2BdJM #cloud",Microsoft's Cindy,NEUTRAL
1461,""" @ BrianCarriveau : Mason Crosby's 633 career points is the most in NFL history by a player in his first five seasons."" AMAZING !!!",Mason Crosby's,POSITIVE
1462,""" @ BrianCarriveau : Mason Crosby's 633 career points is the most in NFL history by a player in his first five seasons."" AMAZING !!!",NFL,NEUTRAL
1463,"#039 http://t.co/MPm4zhc I cant find a photo by John Lennon Yoko Ono . Hes laying on her in a bed , if you have the photo , please ...",John Lennon Yoko Ono,NEUTRAL
1464,AlArabia : The signing of the operational mechanism of the Gulf initiative Tuesday in Riyadh,AlArabia,NEUTRAL
1465,GBP/U SD: Entering on a Retracement | Forex Blog : The Loonie ... : The Greenback's bringin' sexy back ! Or at least ... http://t.co/Wv04iHuX,Forex,NEUTRAL
1466,""" @ HindAlmarzooqi : Work eight hours and sleep eight hours and make sure that they are not the same hours :p wat abt the remaining 8 hours ?",HindAlmarzooqi,NEUTRAL
1467,"Just watched ""An Evening of Poetry"" online from the Whitehouse with performances from Jill Scott and Common . http://1.usa.gov/mFUFEr",Jill Scott,NEUTRAL
1468,In the World of Facebook - The New York Review of Book s: http://www.nybooks.com/articles/23651 via @addthis,Facebook,NEUTRAL
1469,In the World of Facebook - The New York Review of Book s: http://www.nybooks.com/articles/23651 via @addthis,New York Review,NEUTRAL
1470,"On page 221 of 470 of Before I Fall , by Lauren Oliver http://t.co/3Gs1zHe3",Lauren Oliver,NEUTRAL
1471,VinSolutions Announces Google AdWords Certified Partner Statu s: ... confirming their best-in-class automoti ... http://t.co/6pVmlpHR #SMM,VinSolutions,NEUTRAL
1472,@turtlettt from Apple account can see dhl link ?,Apple,NEUTRAL
1473,"Dec . 5 , 2008 a day that will live in economic infamy - long liv da Fed",Fed,NEUTRAL
1474,"@greenvote , no this is tricky scheme to wasting the time by iran gov",iran gov,NEGATIVE
1475,I think IRL drivers are more accessible than NASCAR drivers . My most exciting sighting was Rick Mears,IRL,POSITIVE
1476,I think IRL drivers are more accessible than NASCAR drivers . My most exciting sighting was Rick Mears,NASCAR,NEUTRAL
1477,I think IRL drivers are more accessible than NASCAR drivers . My most exciting sighting was Rick Mears,Rick Mears,POSITIVE
1478,"http://t.co/afaZDxK8 gee - thanks for the pick me up , Stephen .",Stephen,NEUTRAL
1479,Really loving the aston martin face ! RT @designfabulous : Ford Focus EV ; Better looking than the Leaf . http://t.co/ZojZ7IkC,Ford,POSITIVE
1480,"Save Upto $ 500 on TONY ROBBINS Unleash the Power Within LIVE IN FLORIDA ! March 24-27 , 2011 - ORDER NOW ! http://sns.mx/GfbDy2",TONY ROBBINS,POSITIVE
1481,State NAACP endorses â parent trigger â | Thoughts on Public Education http://bit.ly/bGrW2o #CAeducation,NAACP,NEUTRAL
1482,A Personal Tour Of The Build-a-Bear Workshop http://t.co/HkpznUDF,Build-a-Bear Workshop,NEUTRAL
1483,"Hadeh RT @pacificplace : Latest updates from @BlackBerryID : No QUEUEING of Blackberry 9790 tonight , ( cont ) http://t.co/slaNhfb8",Blackberry,NEUTRAL
1484,"New Today : Sunshine Kids Insect Net For Strollers and Carriers , White , Breathable mesh fabric protects baby from ... http : //t77.us/29y1clrawv",Sunshine Kids,NEUTRAL
1485,= on India â s record : Irish Times Editorial,Irish Times Editorial,NEUTRAL
1486,nasa aliens - Get Colon health information and how to support your colon with detox diets - nasa aliens http://goo.gl/kmag3,nasa,NEUTRAL
1487,nasa aliens - Get Colon health information and how to support your colon with detox diets - nasa aliens http://goo.gl/kmag3,nasa,NEUTRAL
1488,@theresaljx @gerrxgerry I'll do the flip table meme . Haha,@theresaljx @gerrxgerry,POSITIVE NEUTRAL
1489,EuroMillions Lottery Results for Tuesday 6 December 2011 : http://t.co/f6zxacO7 #euromillions #lotto #results,EuroMillions,NEUTRAL
1490,K Williams Brown is spreading beehive love all over downtown . 7 in the first hour . World record in the making ? #salemor http://t.co/b9OMqKr,K Williams Brown,POSITIVE
1491,Aidin is beginning to take steps . It's so awesome to see my little bug grow .,Aidin,POSITIVE
1492,Top Gear loses ever more credibility in selecting their 2012 car of the year just to have a dig at # Tesla . Makes no sense otherwise .,Top Gear,NEGATIVE
1493,Top Gear loses ever more credibility in selecting their 2012 car of the year just to have a dig at # Tesla . Makes no sense otherwise .,Tesla,NEGATIVE
1494,The 2011 Global Icon Is ... Queen ! http://t.co/3syAX428,Queen,POSITIVE
1495,"Shop Amazon Here . Sony Products , Music , Music Downloads , Electronics , You name it . spon http://tinyurl.com/3rzxmem",Amazon,POSITIVE
1496,"Shop Amazon Here . Sony Products , Music , Music Downloads , Electronics , You name it . spon http://tinyurl.com/3rzxmem",Sony,NEUTRAL
1497,Nokia Lumia 900 â First Hands-On Video http://t.co/tOAqzPYj,Nokia,NEUTRAL
1498,Martha Stewart's Perfect Baked Macaroni & Cheese - Food on Shine http://t.co/cVktKYl7,Martha Stewart's,POSITIVE
1499,"Some could start businesses RT @shakasisulu : So tweeps , let's suppose we had 100 % matric pass rate across the ( cont ) http://tl.gd/7v0acp",@shakasisulu,NEUTRAL
1500,The Kobe Bryant Daily is out ! http://t.co/0Bzf2vCc â¸ Top stories today via @latimeslakers,Kobe Bryant,NEUTRAL
1501,"For me , international teram contests are the most enjoyable events in golf . Playing for a team , really brings them together . -Jack Nicklaus",-Jack Nicklaus,NEUTRAL
1502,Independent Research Network News is out ! http://t.co/KU5k7aHe,Independent Research Network News,NEUTRAL
1503,Just listed myself in the http://localtweeps.com local Twitter directory in ZIP 28202,Twitter,NEUTRAL
1504,Check this video out -- Ivan Kupala's Brovi Russian folk song which sounds like Malayalam http://t.co/BE5kqJUi via @youtube,Ivan Kupala's,NEUTRAL
1505,"Five Mobile Tips for Marketers , Who Mostly Didn't Attend Barcelona Congress via @AdAge http://t.co/ZG3lFcaZ",Barcelona Congress,NEUTRAL
1506,LET Get FREE MORE TWITTER FOLLOWERS ! http://tinyurl.com/26k6m3l,TWITTER,NEUTRAL
1507,"O you who believe ! Be careful of ( your duty to ) Allah and relinquish what remains ( due ) from usury , if you are believers . ( AQ2 : 278 )",Allah,POSITIVE
1508,"I'd like to share this book with you . De ja-sprong by Tilroe , Anna . #iBookshelf","Tilroe , Anna",NEUTRAL
1509,"Gadget Update : Acer brings five monitors to the US , prices range from $ 139 to $ 329",Acer,NEUTRAL
1510,The world will always have its APPLE . I will always have my Mac . RIP Steve Jobs .,APPLE,POSITIVE
1511,The world will always have its APPLE . I will always have my Mac . RIP Steve Jobs .,Steve Jobs,POSITIVE
1512,Renewable energy will benefit Kingston Springs busine ss: USDA Rural Development business programs administrator ... http://t.co/vWAUyU0s,USDA Rural Development,NEUTRAL
1513,"@nirvanaelhaddad thermal properties , like ""the north face"" check it out on the internet ! ""North Face outdoor clothes"" !","""North Face",POSITIVE
1514,Success is doing ordinary things extraordinarily well . -Jim Rohn,-Jim Rohn,NEUTRAL
1515,"I posted 5 photos on Facebook in the album ""1st Rain at Huab Lodge & BushSPA"" http://t.co/BO4pH1xu",Facebook,NEUTRAL
1516,Check out this entry to become Greyson Chance â s ProtÃ©gÃ© . #BBMchallenge http://t.co/l46om84o,Greyson Chance,NEUTRAL
1517,"Dell Ultrabook 90 % alike MB-Air , Corporate User shall happy ! , ""Intel Ivy Bridge chip delayed , Windows 8 in September http://t.co/irQDIt39""",Dell,NEUTRAL
1518,"Dell Ultrabook 90 % alike MB-Air , Corporate User shall happy ! , ""Intel Ivy Bridge chip delayed , Windows 8 in September http://t.co/irQDIt39""","""Intel",NEUTRAL
1519,"I just joined Remove the PAGE ""ALLAH IS A CRIMINAL"" on @causes ! http://t.co/Ttkew8p","""ALLAH",NEGATIVE
1520,I unlocked the Marvel's The Avengers Coming Soon sticker on @GetGlue ! http://t.co/ejCXgqFZ,Marvel's,POSITIVE
1521,"Share ideas , ask questions , and be part of our City ! Join Mayor Boudreau at Coffee Hours this month . Details @ http://t.co/xxZmzA5n",Mayor Boudreau,POSITIVE
1522,Veteran writer Anis Mansour succumbs to pneumonia at 87 - Politics - Egypt - Ahram Online http://t.co/NEgKZvMi,Anis Mansour,NEUTRAL
1523,Veteran writer Anis Mansour succumbs to pneumonia at 87 - Politics - Egypt - Ahram Online http://t.co/NEgKZvMi,Ahram Online,NEUTRAL
1524,How miidas Did It - How to Relocate to or in the UK | eHow.com http://t.co/yJTNPLR via @AddThis,eHow.com,NEUTRAL
1525,"CM # Jayalalitha , scrap the Kudankulam #Nuclear Plant now ! http://t.co/wzgKM53z via @greenpeaceindia",Jayalalitha,NEUTRAL
1526,@stuartclark66 Is that Will Ferrell in the bookshop ???,Will Ferrell,NEUTRAL
1527,"""Mike"" Update : It has been awhile since I spoke of my friend ""Mike"" . Â Things have gotten a little more relaxed sin ... http://bit.ly/aziC6H","""Mike""",NEUTRAL
1528,"""Mike"" Update : It has been awhile since I spoke of my friend ""Mike"" . Â Things have gotten a little more relaxed sin ... http://bit.ly/aziC6H","""Mike""",POSITIVE
1529,Blue Door Producers checking in to say hi to the tweet world . We'll be back in Santa Monica in a week for post @ Local Hero Post ...,Blue Door,NEUTRAL
1530,"Sep 9 , So In Love With You Jasmine Page http://t.co/T0G88tj",Jasmine Page,POSITIVE
1531,Curious fact s: What awards Sun Myung Moon have received ? Scholarly institutions presented him with honorary doctorate s: http://t.co/xJfCBlNu,Sun Myung Moon,POSITIVE
1532,I love Dropbox because very very easy http://db.tt/98jOC1x,Dropbox,POSITIVE
1533,It's going to take at least an entire country ( maybe a dozen ) to take down Monsanto ! http://t.co/MaU7ZfmE,Monsanto,NEGATIVE
1534,"Sad Incredible Hulk music as the Cardinals pitcher walks off the mound ? Well done , Miller Park .",Cardinals,NEGATIVE
1535,"Sad Incredible Hulk music as the Cardinals pitcher walks off the mound ? Well done , Miller Park .",Miller Park,POSITIVE
1536,@divanee Thank you so much to Divanee Magazine for supporting Listen To The Banned .,Divanee Magazine,POSITIVE
1537,@divanee Thank you so much to Divanee Magazine for supporting Listen To The Banned .,Listen To The Banned,POSITIVE
1538,@MaryamBinFahad it will be aired today Maryam ?,Maryam,NEUTRAL
1539,Elixir Displays System Information for Your Android Phone [ Utilities ] http://bit.ly/iWL5ni,Elixir Displays System Information,NEUTRAL
1540,Summary Box : China auto sales down so far in 2012 despite seasonal lift in ... : IN LOW GEAR : The China Associati ... http://t.co/I0AQQiJK,The China Associati ...,NEUTRAL
1541,Closed a SELL NZD/JPY position at 65.209 on ZuluTrade.com . net PnL : $ 7.15 Visit http://bit.ly/hjJ2tm to see my performance .,ZuluTrade.com . net,NEUTRAL
1542,Stop adding me into your Mafia Family ! I don't want to join !,Mafia,NEGATIVE
1543,Earn Facebook Credits By Eating Taco Bell with Plink http://t.co/AycGR04C,Facebook,NEUTRAL
1544,Earn Facebook Credits By Eating Taco Bell with Plink http://t.co/AycGR04C,Taco Bell,NEUTRAL
1545,Earn Facebook Credits By Eating Taco Bell with Plink http://t.co/AycGR04C,Plink,NEUTRAL
1546,Housefull 2 Hot Actress at the Zoom Holi Party http://t.co/CKEJhpwQ,Zoom,NEUTRAL
1547,@DebbieDeeNJ @JackFerriter @oopsadoop @jkheaton @PennDragonArt morning & congrats to the eagles !,@DebbieDeeNJ @JackFerriter,NEUTRAL
